Emoji,Unicode,Bytes,Description
😁,U+1F601,\xF0\x9F\x98\x81,GRINNING FACE WITH SMILING EYES
😂,U+1F602,\xF0\x9F\x98\x82,FACE WITH TEARS OF JOY
😃,U+1F603,\xF0\x9F\x98\x83,SMILING FACE WITH OPEN MOUTH
😄,U+1F604,\xF0\x9F\x98\x84,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😅,U+1F605,\xF0\x9F\x98\x85,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
😆,U+1F606,\xF0\x9F\x98\x86,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
😉,U+1F609,\xF0\x9F\x98\x89,WINKING FACE
😊,U+1F60A,\xF0\x9F\x98\x8A,SMILING FACE WITH SMILING EYES
😋,U+1F60B,\xF0\x9F\x98\x8B,FACE SAVOURING DELICIOUS FOOD
😌,U+1F60C,\xF0\x9F\x98\x8C,RELIEVED FACE
😍,U+1F60D,\xF0\x9F\x98\x8D,SMILING FACE WITH HEART-SHAPED EYES
😏,U+1F60F,\xF0\x9F\x98\x8F,SMIRKING FACE
😒,U+1F612,\xF0\x9F\x98\x92,UNAMUSED FACE
😓,U+1F613,\xF0\x9F\x98\x93,FACE WITH COLD SWEAT
😔,U+1F614,\xF0\x9F\x98\x94,PENSIVE FACE
😖,U+1F616,\xF0\x9F\x98\x96,CONFOUNDED FACE
😘,U+1F618,\xF0\x9F\x98\x98,FACE THROWING A KISS
😚,U+1F61A,\xF0\x9F\x98\x9A,KISSING FACE WITH CLOSED EYES
😜,U+1F61C,\xF0\x9F\x98\x9C,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
😝,U+1F61D,\xF0\x9F\x98\x9D,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
😞,U+1F61E,\xF0\x9F\x98\x9E,DISAPPOINTED FACE
😠,U+1F620,\xF0\x9F\x98\xA0,ANGRY FACE
😡,U+1F621,\xF0\x9F\x98\xA1,POUTING FACE
😢,U+1F622,\xF0\x9F\x98\xA2,CRYING FACE
😣,U+1F623,\xF0\x9F\x98\xA3,PERSEVERING FACE
😤,U+1F624,\xF0\x9F\x98\xA4,FACE WITH LOOK OF TRIUMPH
😥,U+1F625,\xF0\x9F\x98\xA5,DISAPPOINTED BUT RELIEVED FACE
😨,U+1F628,\xF0\x9F\x98\xA8,FEARFUL FACE
😩,U+1F629,\xF0\x9F\x98\xA9,WEARY FACE
😪,U+1F62A,\xF0\x9F\x98\xAA,SLEEPY FACE
😫,U+1F62B,\xF0\x9F\x98\xAB,TIRED FACE
😭,U+1F62D,\xF0\x9F\x98\xAD,LOUDLY CRYING FACE
😰,U+1F630,\xF0\x9F\x98\xB0,FACE WITH OPEN MOUTH AND COLD SWEAT
😱,U+1F631,\xF0\x9F\x98\xB1,FACE SCREAMING IN FEAR
😲,U+1F632,\xF0\x9F\x98\xB2,ASTONISHED FACE
😳,U+1F633,\xF0\x9F\x98\xB3,FLUSHED FACE
😵,U+1F635,\xF0\x9F\x98\xB5,DIZZY FACE
😷,U+1F637,\xF0\x9F\x98\xB7,FACE WITH MEDICAL MASK
😸,U+1F638,\xF0\x9F\x98\xB8,GRINNING CAT FACE WITH SMILING EYES
😹,U+1F639,\xF0\x9F\x98\xB9,CAT FACE WITH TEARS OF JOY
😺,U+1F63A,\xF0\x9F\x98\xBA,SMILING CAT FACE WITH OPEN MOUTH
😻,U+1F63B,\xF0\x9F\x98\xBB,SMILING CAT FACE WITH HEART-SHAPED EYES
😼,U+1F63C,\xF0\x9F\x98\xBC,CAT FACE WITH WRY SMILE
😽,U+1F63D,\xF0\x9F\x98\xBD,KISSING CAT FACE WITH CLOSED EYES
😾,U+1F63E,\xF0\x9F\x98\xBE,POUTING CAT FACE
😿,U+1F63F,\xF0\x9F\x98\xBF,CRYING CAT FACE
🙀,U+1F640,\xF0\x9F\x99\x80,WEARY CAT FACE
🙅,U+1F645,\xF0\x9F\x99\x85,FACE WITH NO GOOD GESTURE
🙆,U+1F646,\xF0\x9F\x99\x86,FACE WITH OK GESTURE
🙇,U+1F647,\xF0\x9F\x99\x87,PERSON BOWING DEEPLY
🙈,U+1F648,\xF0\x9F\x99\x88,SEE-NO-EVIL MONKEY
🙉,U+1F649,\xF0\x9F\x99\x89,HEAR-NO-EVIL MONKEY
🙊,U+1F64A,\xF0\x9F\x99\x8A,SPEAK-NO-EVIL MONKEY
🙋,U+1F64B,\xF0\x9F\x99\x8B,HAPPY PERSON RAISING ONE HAND
🙌,U+1F64C,\xF0\x9F\x99\x8C,PERSON RAISING BOTH HANDS IN CELEBRATION
🙍,U+1F64D,\xF0\x9F\x99\x8D,PERSON FROWNING
🙎,U+1F64E,\xF0\x9F\x99\x8E,PERSON WITH POUTING FACE
🙏,U+1F64F,\xF0\x9F\x99\x8F,PERSON WITH FOLDED HANDS
✂,U+2702,\xE2\x9C\x82,BLACK SCISSORS
✅,U+2705,\xE2\x9C\x85,WHITE HEAVY CHECK MARK
✈,U+2708,\xE2\x9C\x88,AIRPLANE
✉,U+2709,\xE2\x9C\x89,ENVELOPE
✊,U+270A,\xE2\x9C\x8A,RAISED FIST
✋,U+270B,\xE2\x9C\x8B,RAISED HAND
✌,U+270C,\xE2\x9C\x8C,VICTORY HAND
✏,U+270F,\xE2\x9C\x8F,PENCIL
✒,U+2712,\xE2\x9C\x92,BLACK NIB
✔,U+2714,\xE2\x9C\x94,HEAVY CHECK MARK
✖,U+2716,\xE2\x9C\x96,HEAVY MULTIPLICATION X
✨,U+2728,\xE2\x9C\xA8,SPARKLES
✳,U+2733,\xE2\x9C\xB3,EIGHT SPOKED ASTERISK
✴,U+2734,\xE2\x9C\xB4,EIGHT POINTED BLACK STAR
❄,U+2744,\xE2\x9D\x84,SNOWFLAKE
❇,U+2747,\xE2\x9D\x87,SPARKLE
❌,U+274C,\xE2\x9D\x8C,CROSS MARK
❎,U+274E,\xE2\x9D\x8E,NEGATIVE SQUARED CROSS MARK
❓,U+2753,\xE2\x9D\x93,BLACK QUESTION MARK ORNAMENT
❔,U+2754,\xE2\x9D\x94,WHITE QUESTION MARK ORNAMENT
❕,U+2755,\xE2\x9D\x95,WHITE EXCLAMATION MARK ORNAMENT
❗,U+2757,\xE2\x9D\x97,HEAVY EXCLAMATION MARK SYMBOL
❤,U+2764,\xE2\x9D\xA4,HEAVY BLACK HEART
➕,U+2795,\xE2\x9E\x95,HEAVY PLUS SIGN
➖,U+2796,\xE2\x9E\x96,HEAVY MINUS SIGN
➗,U+2797,\xE2\x9E\x97,HEAVY DIVISION SIGN
➡,U+27A1,\xE2\x9E\xA1,BLACK RIGHTWARDS ARROW
➰,U+27B0,\xE2\x9E\xB0,CURLY LOOP
🚀,U+1F680,\xF0\x9F\x9A\x80,ROCKET
🚃,U+1F683,\xF0\x9F\x9A\x83,RAILWAY CAR
🚄,U+1F684,\xF0\x9F\x9A\x84,HIGH-SPEED TRAIN
🚅,U+1F685,\xF0\x9F\x9A\x85,HIGH-SPEED TRAIN WITH BULLET NOSE
🚇,U+1F687,\xF0\x9F\x9A\x87,METRO
🚉,U+1F689,\xF0\x9F\x9A\x89,STATION
🚌,U+1F68C,\xF0\x9F\x9A\x8C,BUS
🚏,U+1F68F,\xF0\x9F\x9A\x8F,BUS STOP
🚑,U+1F691,\xF0\x9F\x9A\x91,AMBULANCE
🚒,U+1F692,\xF0\x9F\x9A\x92,FIRE ENGINE
🚓,U+1F693,\xF0\x9F\x9A\x93,POLICE CAR
🚕,U+1F695,\xF0\x9F\x9A\x95,TAXI
🚗,U+1F697,\xF0\x9F\x9A\x97,AUTOMOBILE
🚙,U+1F699,\xF0\x9F\x9A\x99,RECREATIONAL VEHICLE
🚚,U+1F69A,\xF0\x9F\x9A\x9A,DELIVERY TRUCK
🚢,U+1F6A2,\xF0\x9F\x9A\xA2,SHIP
🚤,U+1F6A4,\xF0\x9F\x9A\xA4,SPEEDBOAT
🚥,U+1F6A5,\xF0\x9F\x9A\xA5,HORIZONTAL TRAFFIC LIGHT
🚧,U+1F6A7,\xF0\x9F\x9A\xA7,CONSTRUCTION SIGN
🚨,U+1F6A8,\xF0\x9F\x9A\xA8,POLICE CARS REVOLVING LIGHT
🚩,U+1F6A9,\xF0\x9F\x9A\xA9,TRIANGULAR FLAG ON POST
🚪,U+1F6AA,\xF0\x9F\x9A\xAA,DOOR
🚫,U+1F6AB,\xF0\x9F\x9A\xAB,NO ENTRY SIGN
🚬,U+1F6AC,\xF0\x9F\x9A\xAC,SMOKING SYMBOL
🚭,U+1F6AD,\xF0\x9F\x9A\xAD,NO SMOKING SYMBOL
🚲,U+1F6B2,\xF0\x9F\x9A\xB2,BICYCLE
🚶,U+1F6B6,\xF0\x9F\x9A\xB6,PEDESTRIAN
🚹,U+1F6B9,\xF0\x9F\x9A\xB9,MENS SYMBOL
🚺,U+1F6BA,\xF0\x9F\x9A\xBA,WOMENS SYMBOL
🚻,U+1F6BB,\xF0\x9F\x9A\xBB,RESTROOM
🚼,U+1F6BC,\xF0\x9F\x9A\xBC,BABY SYMBOL
🚽,U+1F6BD,\xF0\x9F\x9A\xBD,TOILET
🚾,U+1F6BE,\xF0\x9F\x9A\xBE,WATER CLOSET
🛀,U+1F6C0,\xF0\x9F\x9B\x80,BATH
Ⓜ,U+24C2,\xE2\x93\x82,CIRCLED LATIN CAPITAL LETTER M
🅰,U+1F170,\xF0\x9F\x85\xB0,NEGATIVE SQUARED LATIN CAPITAL LETTER A
🅱,U+1F171,\xF0\x9F\x85\xB1,NEGATIVE SQUARED LATIN CAPITAL LETTER B
🅾,U+1F17E,\xF0\x9F\x85\xBE,NEGATIVE SQUARED LATIN CAPITAL LETTER O
🅿,U+1F17F,\xF0\x9F\x85\xBF,NEGATIVE SQUARED LATIN CAPITAL LETTER P
🆎,U+1F18E,\xF0\x9F\x86\x8E,NEGATIVE SQUARED AB
🆑,U+1F191,\xF0\x9F\x86\x91,SQUARED CL
🆒,U+1F192,\xF0\x9F\x86\x92,SQUARED COOL
🆓,U+1F193,\xF0\x9F\x86\x93,SQUARED FREE
🆔,U+1F194,\xF0\x9F\x86\x94,SQUARED ID
🆕,U+1F195,\xF0\x9F\x86\x95,SQUARED NEW
🆖,U+1F196,\xF0\x9F\x86\x96,SQUARED NG
🆗,U+1F197,\xF0\x9F\x86\x97,SQUARED OK
🆘,U+1F198,\xF0\x9F\x86\x98,SQUARED SOS
🆙,U+1F199,\xF0\x9F\x86\x99,SQUARED UP WITH EXCLAMATION MARK
🆚,U+1F19A,\xF0\x9F\x86\x9A,SQUARED VS
🇩🇪,U+1F1E9,\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA,REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E
🇬🇧,U+1F1EC,\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7,REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B
🇨🇳,U+1F1E8,\xF0\x9F\x87\xA8\xF0\x9F\x87\xB3,REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N
🇯🇵,U+1F1EF,\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5,REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P
🇫🇷,U+1F1EB,\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7,REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R
🇰🇷,U+1F1F0,\xF0\x9F\x87\xB0\xF0\x9F\x87\xB7,REGIONAL INDICATOR SYMBOL LETTER K + REGIONAL INDICATOR SYMBOL LETTER R
🇪🇸,U+1F1EA,\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8,REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S
🇮🇹,U+1F1EE,\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9,REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T
🇷🇺,U+1F1F7,\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA,REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U
🇺🇸,U+1F1FA,\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8,REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S
🈁,U+1F201,\xF0\x9F\x88\x81,SQUARED KATAKANA KOKO
🈂,U+1F202,\xF0\x9F\x88\x82,SQUARED KATAKANA SA
🈚,U+1F21A,\xF0\x9F\x88\x9A,SQUARED CJK UNIFIED IDEOGRAPH-7121
🈯,U+1F22F,\xF0\x9F\x88\xAF,SQUARED CJK UNIFIED IDEOGRAPH-6307
🈲,U+1F232,\xF0\x9F\x88\xB2,SQUARED CJK UNIFIED IDEOGRAPH-7981
🈳,U+1F233,\xF0\x9F\x88\xB3,SQUARED CJK UNIFIED IDEOGRAPH-7A7A
🈴,U+1F234,\xF0\x9F\x88\xB4,SQUARED CJK UNIFIED IDEOGRAPH-5408
🈵,U+1F235,\xF0\x9F\x88\xB5,SQUARED CJK UNIFIED IDEOGRAPH-6E80
🈶,U+1F236,\xF0\x9F\x88\xB6,SQUARED CJK UNIFIED IDEOGRAPH-6709
🈷,U+1F237,\xF0\x9F\x88\xB7,SQUARED CJK UNIFIED IDEOGRAPH-6708
🈸,U+1F238,\xF0\x9F\x88\xB8,SQUARED CJK UNIFIED IDEOGRAPH-7533
🈹,U+1F239,\xF0\x9F\x88\xB9,SQUARED CJK UNIFIED IDEOGRAPH-5272
🈺,U+1F23A,\xF0\x9F\x88\xBA,SQUARED CJK UNIFIED IDEOGRAPH-55B6
🉐,U+1F250,\xF0\x9F\x89\x90,CIRCLED IDEOGRAPH ADVANTAGE
🉑,U+1F251,\xF0\x9F\x89\x91,CIRCLED IDEOGRAPH ACCEPT
©,U+A9,\xC2\xA9,COPYRIGHT SIGN
®,U+AE,\xC2\xAE,REGISTERED SIGN
‼,U+203C,\xE2\x80\xBC,DOUBLE EXCLAMATION MARK
⁉,U+2049,\xE2\x81\x89,EXCLAMATION QUESTION MARK
#⃣,U+23,\x23\xE2\x83\xA3,NUMBER SIGN + COMBINING ENCLOSING KEYCAP
8⃣,U+38,\x38\xE2\x83\xA3,DIGIT EIGHT + COMBINING ENCLOSING KEYCAP
9⃣,U+39,\x39\xE2\x83\xA3,DIGIT NINE + COMBINING ENCLOSING KEYCAP
7⃣,U+37,\x37\xE2\x83\xA3,DIGIT SEVEN + COMBINING ENCLOSING KEYCAP
0⃣,U+30,\x30\xE2\x83\xA3,DIGIT ZERO + COMBINING ENCLOSING KEYCAP
6⃣,U+36,\x36\xE2\x83\xA3,DIGIT SIX + COMBINING ENCLOSING KEYCAP
5⃣,U+35,\x35\xE2\x83\xA3,DIGIT FIVE + COMBINING ENCLOSING KEYCAP
4⃣,U+34,\x34\xE2\x83\xA3,DIGIT FOUR + COMBINING ENCLOSING KEYCAP
3⃣,U+33,\x33\xE2\x83\xA3,DIGIT THREE + COMBINING ENCLOSING KEYCAP
2⃣,U+32,\x32\xE2\x83\xA3,DIGIT TWO + COMBINING ENCLOSING KEYCAP
1⃣,U+31,\x31\xE2\x83\xA3,DIGIT ONE + COMBINING ENCLOSING KEYCAP
™,U+2122,\xE2\x84\xA2,TRADE MARK SIGN
ℹ,U+2139,\xE2\x84\xB9,INFORMATION SOURCE
↔,U+2194,\xE2\x86\x94,LEFT RIGHT ARROW
↕,U+2195,\xE2\x86\x95,UP DOWN ARROW
↖,U+2196,\xE2\x86\x96,NORTH WEST ARROW
↗,U+2197,\xE2\x86\x97,NORTH EAST ARROW
↘,U+2198,\xE2\x86\x98,SOUTH EAST ARROW
↙,U+2199,\xE2\x86\x99,SOUTH WEST ARROW
↩,U+21A9,\xE2\x86\xA9,LEFTWARDS ARROW WITH HOOK
↪,U+21AA,\xE2\x86\xAA,RIGHTWARDS ARROW WITH HOOK
⌚,U+231A,\xE2\x8C\x9A,WATCH
⌛,U+231B,\xE2\x8C\x9B,HOURGLASS
⏩,U+23E9,\xE2\x8F\xA9,BLACK RIGHT-POINTING DOUBLE TRIANGLE
⏪,U+23EA,\xE2\x8F\xAA,BLACK LEFT-POINTING DOUBLE TRIANGLE
⏫,U+23EB,\xE2\x8F\xAB,BLACK UP-POINTING DOUBLE TRIANGLE
⏬,U+23EC,\xE2\x8F\xAC,BLACK DOWN-POINTING DOUBLE TRIANGLE
⏰,U+23F0,\xE2\x8F\xB0,ALARM CLOCK
⏳,U+23F3,\xE2\x8F\xB3,HOURGLASS WITH FLOWING SAND
▪,U+25AA,\xE2\x96\xAA,BLACK SMALL SQUARE
▫,U+25AB,\xE2\x96\xAB,WHITE SMALL SQUARE
▶,U+25B6,\xE2\x96\xB6,BLACK RIGHT-POINTING TRIANGLE
◀,U+25C0,\xE2\x97\x80,BLACK LEFT-POINTING TRIANGLE
◻,U+25FB,\xE2\x97\xBB,WHITE MEDIUM SQUARE
◼,U+25FC,\xE2\x97\xBC,BLACK MEDIUM SQUARE
◽,U+25FD,\xE2\x97\xBD,WHITE MEDIUM SMALL SQUARE
◾,U+25FE,\xE2\x97\xBE,BLACK MEDIUM SMALL SQUARE
☀,U+2600,\xE2\x98\x80,BLACK SUN WITH RAYS
☁,U+2601,\xE2\x98\x81,CLOUD
☎,U+260E,\xE2\x98\x8E,BLACK TELEPHONE
☑,U+2611,\xE2\x98\x91,BALLOT BOX WITH CHECK
☔,U+2614,\xE2\x98\x94,UMBRELLA WITH RAIN DROPS
☕,U+2615,\xE2\x98\x95,HOT BEVERAGE
☝,U+261D,\xE2\x98\x9D,WHITE UP POINTING INDEX
☺,U+263A,\xE2\x98\xBA,WHITE SMILING FACE
♈,U+2648,\xE2\x99\x88,ARIES
♉,U+2649,\xE2\x99\x89,TAURUS
♊,U+264A,\xE2\x99\x8A,GEMINI
♋,U+264B,\xE2\x99\x8B,CANCER
♌,U+264C,\xE2\x99\x8C,LEO
♍,U+264D,\xE2\x99\x8D,VIRGO
♎,U+264E,\xE2\x99\x8E,LIBRA
♏,U+264F,\xE2\x99\x8F,SCORPIUS
♐,U+2650,\xE2\x99\x90,SAGITTARIUS
♑,U+2651,\xE2\x99\x91,CAPRICORN
♒,U+2652,\xE2\x99\x92,AQUARIUS
♓,U+2653,\xE2\x99\x93,PISCES
♠,U+2660,\xE2\x99\xA0,BLACK SPADE SUIT
♣,U+2663,\xE2\x99\xA3,BLACK CLUB SUIT
♥,U+2665,\xE2\x99\xA5,BLACK HEART SUIT
♦,U+2666,\xE2\x99\xA6,BLACK DIAMOND SUIT
♨,U+2668,\xE2\x99\xA8,HOT SPRINGS
♻,U+267B,\xE2\x99\xBB,BLACK UNIVERSAL RECYCLING SYMBOL
♿,U+267F,\xE2\x99\xBF,WHEELCHAIR SYMBOL
⚓,U+2693,\xE2\x9A\x93,ANCHOR
⚠,U+26A0,\xE2\x9A\xA0,WARNING SIGN
⚡,U+26A1,\xE2\x9A\xA1,HIGH VOLTAGE SIGN
⚪,U+26AA,\xE2\x9A\xAA,MEDIUM WHITE CIRCLE
⚫,U+26AB,\xE2\x9A\xAB,MEDIUM BLACK CIRCLE
⚽,U+26BD,\xE2\x9A\xBD,SOCCER BALL
⚾,U+26BE,\xE2\x9A\xBE,BASEBALL
⛄,U+26C4,\xE2\x9B\x84,SNOWMAN WITHOUT SNOW
⛅,U+26C5,\xE2\x9B\x85,SUN BEHIND CLOUD
⛎,U+26CE,\xE2\x9B\x8E,OPHIUCHUS
⛔,U+26D4,\xE2\x9B\x94,NO ENTRY
⛪,U+26EA,\xE2\x9B\xAA,CHURCH
⛲,U+26F2,\xE2\x9B\xB2,FOUNTAIN
⛳,U+26F3,\xE2\x9B\xB3,FLAG IN HOLE
⛵,U+26F5,\xE2\x9B\xB5,SAILBOAT
⛺,U+26FA,\xE2\x9B\xBA,TENT
⛽,U+26FD,\xE2\x9B\xBD,FUEL PUMP
⤴,U+2934,\xE2\xA4\xB4,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
⤵,U+2935,\xE2\xA4\xB5,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
⬅,U+2B05,\xE2\xAC\x85,LEFTWARDS BLACK ARROW
⬆,U+2B06,\xE2\xAC\x86,UPWARDS BLACK ARROW
⬇,U+2B07,\xE2\xAC\x87,DOWNWARDS BLACK ARROW
⬛,U+2B1B,\xE2\xAC\x9B,BLACK LARGE SQUARE
⬜,U+2B1C,\xE2\xAC\x9C,WHITE LARGE SQUARE
⭐,U+2B50,\xE2\xAD\x90,WHITE MEDIUM STAR
⭕,U+2B55,\xE2\xAD\x95,HEAVY LARGE CIRCLE
〰,U+3030,\xE3\x80\xB0,WAVY DASH
